ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
"02","1","06","117","2018","09","08","3","2","6","6","0","1","0","1","0","0","0","0",567928.69310000003,5934161.07899999991,10.02533295600,53.55193978300
"02","1","08","124","2018","09","07","2","3","0","7","0","0","0","0","0","0","1","0",568947.91200000001,5934225.35030000005,10.04072871100,53.55238453700
"02","1","07","119","2018","10","11","5","3","2","6","0","0","1","0","0","0","0","1",568251.96219999995,5934193.63090000022,10.03021870300,53.55219040600
"02","1","06","117","2018","11","20","4","3","5","3","2","1","1","0","0","0","0","0",567961.85800000001,5934091.92349999957,10.02581843500,53.55131398000
"02","1","07","120","2018","11","10","6","3","1","5","0","1","1","0","0","0","0","0",568069.90060000005,5934564.47229999956,10.02755183700,53.55554684800
"02","1","07","119","2018","11","13","5","3","3","2","0","0","1","0","0","0","0","0",568822.09499999997,5934236.87200000044,10.03883245600,53.55250459200
"02","1","07","120","2018","12","14","6","3","4","7","0","0","1","0","0","0","1","1",568609.31720000005,5934502.54200000037,10.03567957300,53.55492005000
"02","1","06","118","2018","12","07","2","3","6","7","1","0","0","1","0","0","1","1",568679.62360000005,5933958.02969999984,10.03662106400,53.55001725900
"02","1","05","113","2018","12","20","6","3","5","3","2","0","1","0","0","0","0","1",567810.12230000005,5934315.78070000000,10.02357708600,53.55334543900
"02","1","07","119","2018","12","07","5","3","1","6","0","0","1","0","1","0","0","1",568192.94660000002,5934194.58839999977,10.02932826800,53.55220668000
"02","1","07","120","2018","12","17","3","2","3","2","2","1","1","0","0","0","0","0",568008.92099999997,5934377.79079999961,10.02659086500,53.55387701800
"02","1","06","117","2018","12","15","1","3","5","3","0","1","1","0","0","0","0","0",567944.43229999999,5934144.74639999960,10.02556693600,53.55179096300
"02","1","07","120","2018","12","09","2","3","2","2","0","0","1","0","0","0","0","1",568208.26910000003,5934418.18499999959,10.02960829400,53.55421418300
"02","1","16","137","2018","04","07","4","3","2","6","0","0","1","0","0","0","1","0",566258.72120000003,5929260.64979999978,9.99909307700,53.50811177900
"02","1","16","137","2018","10","10","2","3","4","6","0","0","1","0","0","0","0","0",566172.33310000005,5928115.34709999990,9.99754898500,53.49782947400
