OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
5971,98655,2,7,10,711,2016,10,18,4,3,5,3,2,1,0,1,0,0,0,0,564100.7879,5924259.685,9.965538226,53.46343352
5972,98656,2,4,6,415,2016,10,20,3,3,3,7,0,0,1,1,0,0,0,0,567367.1527,5936152.004,10.01728761,53.56990491
5973,98657,2,5,10,518,2016,10,15,2,2,2,6,0,1,0,1,0,0,0,0,574417.5082,5945733.611,10.12601997,53.65505999
5974,98658,2,7,4,705,2016,10,19,7,3,6,4,2,1,0,1,1,0,0,0,565608.2541,5921568.086,9.987679828,53.4390574
5975,98659,2,2,4,212,2016,10,18,6,2,6,2,2,1,0,1,1,0,0,0,560812.0911,5933999.755,9.917897808,53.55136245
5976,98660,2,7,15,716,2016,10,15,6,3,2,6,0,0,0,1,0,0,0,0,558185.4892,5928510.9,9.877237128,53.50232862
5977,98661,2,1,3,108,2016,9,8,6,3,2,6,0,0,0,1,0,0,0,0,565733.4056,5934792.733,9.992335105,53.55789606
5978,98662,2,1,5,114,2016,10,16,1,2,6,4,0,1,0,1,1,0,0,0,566937.3004,5934033.712,10.01034393,53.55092244
5979,98663,2,1,5,114,2016,9,14,6,3,0,2,0,0,1,0,0,0,0,1,567343.6992,5934530.021,10.01658392,53.55533089
5980,98664,2,3,7,319,2016,10,15,3,3,5,3,0,0,1,1,0,0,0,0,559880.458,5942975.178,9.90556083,53.63213536
5981,98665,2,4,11,430,2016,10,7,4,3,5,3,0,1,1,1,0,0,0,0,568373.355,5941751.046,10.03370685,53.62009371
5982,98666,2,2,4,213,2016,10,21,4,3,6,4,2,1,0,1,1,0,0,0,561369.6015,5934203.565,9.926351675,53.5531293
5983,98667,2,4,10,427,2016,10,18,4,3,5,2,2,0,0,1,0,0,0,0,569410.7086,5937980.451,10.0485476,53.58607087
5984,98668,2,6,1,601,2016,10,13,2,3,2,2,0,0,0,1,0,0,0,0,580155.9531,5927705.331,10.20820055,53.49219999
5985,98669,2,1,6,115,2016,10,0,2,3,5,3,2,0,0,1,0,0,0,0,566690.1439,5933943.684,10.00659481,53.5501448
