type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
2,0,0,5,2,1.0,6,1.0,490556.657,5875524.16,6,1,8,4,27,68,1.0,5.0,0.0
1,2,1,5,1,5.0,5,1.0,485902.0189,5880214.177,6,1,8,1,44,27,1.0,5.0,0.0
1,0,0,5,1,5.0,6,2.0,485841.6281,5883212.187999999,5,0,9,2,50,45,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,494259.0502,5879533.967,3,1,9,1,48,33,1.0,5.0,0.0
2,0,0,5,1,5.0,7,2.0,471210.8835,5892513.197000002,4,0,9,3,33,33,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,474486.2535,5891745.751,6,0,9,4,21,45,1.0,5.0,0.0
3,0,1,5,1,2.0,6,2.0,486016.9194,5881335.041,6,0,10,4,46,56,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,488370.1937,5881582.333,6,0,3,4,42,78,2.0,5.0,0.0
2,0,0,5,1,5.0,7,1.0,487957.9795,5880006.606000002,5,0,10,3,44,24,1.0,5.0,0.0
0,1,0,5,1,5.0,1,1.0,481245.9792,5878619.025,2,1,10,5,25,76,1.0,3.0,0.0
4,0,0,5,1,5.0,6,1.0,496240.0188,5876498.597999998,4,0,4,5,42,82,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,489053.6381,5881462.663,3,1,10,5,37,29,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,483403.8664,5882276.828,6,0,9,3,46,56,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,486593.4267,5883625.6910000015,6,0,10,2,69,50,1.0,5.0,0.0
3,0,0,5,1,5.0,6,2.0,486245.8871,5882794.015,4,0,9,5,26,41,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,486250.3,5882814.289,4,0,9,5,86,44,1.0,5.0,0.0
2,0,0,5,2,2.0,6,1.0,485927.1739,5881106.481000002,6,0,10,4,20,43,1.0,5.0,0.0
2,0,1,5,1,5.0,6,2.0,486902.7954,5878885.577000001,3,0,10,5,26,45,1.0,3.0,0.0
3,1,0,5,2,1.0,6,1.0,491035.1658,5875878.161,2,0,9,2,23,44,1.0,5.0,0.0
1,0,1,5,1,5.0,5,1.0,490068.6442,5883929.376,3,1,10,2,42,51,1.0,5.0,0.0
1,2,1,5,1,5.0,5,1.0,487011.64700000006,5881738.254,1,0,10,6,54,34,2.0,5.0,0.0
5,0,1,5,1,5.0,3,1.0,487466.5376,5881290.095,6,0,10,3,29,33,2.0,5.0,0.0
0,0,0,5,1,5.0,7,2.0,483902.1366,5885182.56,3,0,9,5,26,43,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,474991.3369,5891198.637,7,0,5,4,55,32,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,495816.1128,5882104.364,6,0,11,2,36,43,1.0,5.0,0.0
2,1,1,5,1,5.0,6,1.0,471711.199,5895047.027000002,3,0,9,5,20,27,1.0,5.0,0.0
5,2,0,5,1,5.0,3,1.0,487738.7024,5881026.705,6,1,10,5,79,33,1.0,5.0,0.0
0,2,1,5,1,5.0,7,1.0,484775.2571,5881350.39,4,0,11,5,24,26,1.0,3.0,0.0
5,1,0,5,1,5.0,3,1.0,482529.2198,5887088.596,5,0,11,5,61,69,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,493245.5217,5885673.5589999985,5,0,11,2,29,62,1.0,5.0,0.0
3,1,0,5,1,5.0,5,1.0,486702.4573,5879110.355,5,0,11,5,27,61,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,486857.0107,5880796.232000002,3,0,11,4,36,49,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,486811.4516,5879296.929,3,0,11,4,25,74,1.0,5.0,0.0
5,0,0,5,1,2.0,3,1.0,486277.3769,5883042.012999998,3,0,11,2,33,49,1.0,5.0,0.0
2,0,1,5,1,5.0,7,1.0,485044.3309,5881127.289,3,0,12,2,45,28,2.0,5.0,0.0
1,2,1,5,1,5.0,5,1.0,485357.9059,5882060.084,4,0,11,5,34,31,2.0,5.0,0.0
2,2,0,5,1,5.0,3,2.0,491669.9599,5881454.128,5,0,11,5,42,26,1.0,3.0,0.0
1,2,1,5,1,5.0,5,1.0,488161.0687,5880381.76,1,0,11,5,25,23,1.0,5.0,0.0
2,2,0,5,1,5.0,7,2.0,488288.8679,5881672.238,2,0,12,5,44,23,2.0,5.0,0.0
3,0,1,5,1,5.0,6,1.0,487099.7272,5880376.611000001,4,0,11,2,45,57,1.0,5.0,0.0
3,0,1,5,1,2.0,6,1.0,486703.3682,5883847.484,2,0,12,2,55,45,2.0,5.0,0.0
5,0,1,5,1,5.0,7,1.0,482540.1573,5877742.225,6,0,11,4,46,37,2.0,5.0,0.0
1,2,0,5,1,5.0,5,1.0,488522.6037,5881214.673,7,1,10,2,46,33,2.0,4.0,1.0
5,0,1,5,1,5.0,3,2.0,484424.1311,5884733.23,3,0,12,3,40,60,1.0,3.0,0.0
2,1,0,5,1,5.0,6,2.0,486643.4905,5880308.016,2,0,11,5,30,43,2.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,491904.4055,5881440.299,4,0,12,3,39,68,1.0,5.0,0.0
1,0,0,5,1,5.0,6,1.0,475095.9508,5891184.682999998,5,1,12,3,24,35,2.0,5.0,0.0
2,2,0,5,1,5.0,6,2.0,487253.3625,5875961.659,5,0,12,5,50,26,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,480634.2709,5888968.696,7,1,12,4,39,27,1.0,5.0,0.0
2,2,1,5,1,5.0,6,1.0,491883.1509,5881078.381,1,0,1,5,54,22,1.0,5.0,0.0
5,0,0,5,1,5.0,2,1.0,489839.1876,5877878.192000002,7,0,5,5,54,55,1.0,5.0,0.0
5,2,1,5,1,5.0,3,2.0,481485.97,5877148.533,6,0,1,2,27,50,2.0,3.0,0.0
5,0,1,1,1,5.0,3,1.0,480297.8991,5887713.027000002,3,1,1,4,20,26,1.0,3.0,0.0
2,0,0,5,1,5.0,6,2.0,488151.9073,5875761.31,5,0,4,3,38,45,2.0,5.0,0.0
5,0,0,5,1,5.0,7,1.0,479707.7928,5891069.878,4,0,6,3,44,44,2.0,5.0,0.0
2,0,0,5,2,5.0,6,1.0,493053.0127,5887065.232000002,3,0,6,5,26,37,2.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,488149.2472,5875560.997,6,0,7,3,30,41,1.0,5.0,0.0
2,0,0,5,1,2.0,6,1.0,486130.1594,5878891.396000002,5,0,7,4,25,43,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,487277.3318,5875782.139,3,0,7,4,37,48,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,489560.1177,5880665.014,3,0,9,4,49,26,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,484848.3528,5879198.771000002,4,0,6,5,50,34,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,486522.6196,5883715.152000002,3,0,6,4,29,51,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,486800.6668,5880876.012,5,0,9,5,22,55,2.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,486060.841,5881466.913,4,1,9,4,27,62,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,485148.5427,5882845.569,6,1,7,2,44,59,1.0,5.0,0.0
3,1,0,5,1,5.0,6,2.0,487248.8093,5881480.661,1,0,9,6,34,43,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,487485.5975,5881258.132,3,0,9,5,23,21,1.0,3.0,0.0
1,2,1,5,1,5.0,6,1.0,487453.5443,5883215.437000001,2,0,11,2,35,56,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,484996.7173,5884226.976,6,0,11,4,18,80,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,485515.9717,5882071.987000002,5,0,11,2,52,30,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,486085.5512,5882531.747,2,0,11,4,18,27,1.0,5.0,0.0
0,2,0,5,1,5.0,7,1.0,486999.98,5881550.804,2,0,12,6,53,43,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,488950.0281,5880397.406,2,0,4,4,20,27,2.0,5.0,0.0
5,0,1,5,1,5.0,2,1.0,492316.719,5878610.926,1,0,9,2,33,36,1.0,3.0,0.0
6,0,1,5,1,5.0,4,2.0,493941.8228,5883019.929,3,1,8,2,55,83,1.0,2.0,1.0
0,2,1,5,1,5.0,7,2.0,486818.1572,5881207.07,6,0,11,6,51,46,1.0,3.0,0.0
5,2,1,5,1,5.0,3,1.0,480950.3853,5878328.414,2,0,12,6,85,46,1.0,3.0,0.0
8,2,1,4,1,5.0,1,1.0,494316.3451,5880020.272999999,1,0,12,6,60,43,1.0,3.0,0.0
3,0,0,4,2,1.0,6,1.0,491608.9924,5884189.627,3,0,3,2,50,53,2.0,4.0,1.0
0,0,0,4,1,5.0,7,1.0,486321.6899,5879830.861000001,7,0,3,2,42,43,1.0,5.0,0.0
1,1,0,5,1,5.0,7,1.0,486908.3969,5880675.338,6,0,12,5,42,31,1.0,5.0,0.0
1,2,0,5,1,5.0,7,1.0,483228.0844,5886134.8670000015,4,0,1,1,44,50,1.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,484017.6212,5882045.1170000015,6,0,9,5,32,43,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,491103.6406,5880051.931,4,1,12,3,63,46,2.0,5.0,0.0
2,2,1,5,1,5.0,5,2.0,485912.7021,5880731.96,3,0,1,2,61,33,2.0,5.0,0.0
3,0,1,5,1,1.0,6,2.0,482403.422,5881149.649,2,0,1,3,39,29,2.0,5.0,0.0
2,2,0,5,1,5.0,6,1.0,488843.0198,5881364.168,5,0,2,5,51,58,1.0,5.0,0.0
1,1,0,5,1,5.0,7,1.0,489626.3163,5879912.687000001,7,0,7,6,35,51,2.0,5.0,0.0
4,2,0,5,1,5.0,6,1.0,480918.6575,5878585.45,3,0,12,5,42,73,2.0,5.0,0.0
1,2,1,5,1,5.0,7,1.0,487280.4314,5881453.012,4,0,9,6,22,43,2.0,5.0,0.0
5,0,1,5,1,2.0,2,1.0,486578.8751,5878400.103999998,6,0,9,5,48,53,2.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,490306.7745,5881450.987000002,5,0,9,4,28,90,2.0,2.0,1.0
1,0,0,5,1,5.0,7,1.0,485269.3807,5882666.397000001,2,0,9,5,59,43,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,488242.6478,5881672.764,3,0,9,3,48,67,1.0,3.0,0.0
6,0,1,5,1,5.0,4,2.0,479849.112,5891033.839,3,0,11,4,71,90,2.0,1.0,1.0
6,0,1,5,1,5.0,4,2.0,471390.8752,5894172.425,4,0,2,5,53,43,1.0,3.0,0.0
1,0,1,5,1,5.0,7,1.0,487329.1412,5883011.36,2,0,1,2,55,54,1.0,5.0,0.0
3,2,1,5,1,5.0,6,1.0,485847.6241,5883795.614,5,0,1,5,40,56,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,490020.53,5881722.217,3,1,4,3,23,44,1.0,3.0,0.0
