OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,Hour,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,Longitude,Latitude
3250,2,3,1,309,2018,5,18,2,3,6,6,0,1,0,1,0,0,0,0,564016.0382,5935663.219,9.966591559,53.56593163
3251,2,2,11,223,2018,5,19,3,3,4,2,0,0,1,0,0,0,0,0,552853.7523,5935542.449,9.798049294,53.56608923
3252,2,1,3,106,2018,6,8,6,3,3,6,0,1,0,0,0,1,0,0,564699.3134,5934262.631,9.976616867,53.55326036
3253,2,2,8,220,2018,5,17,6,3,0,7,0,0,1,0,0,0,0,0,557853.9808,5938382.46,9.874065877,53.59108639
3254,2,2,8,220,2018,5,8,3,3,5,7,0,1,1,0,0,0,0,0,558628.8713,5938755.167,9.885841564,53.59435
3255,2,1,14,133,2018,5,17,3,3,5,3,0,1,1,0,0,0,0,0,568382.5865,5932336.506,10.03178405,53.53548316
3256,2,4,3,406,2018,5,19,3,3,3,6,0,1,1,0,0,0,0,0,565023.407,5940565.753,9.982821404,53.60986791
3257,2,5,3,511,2018,5,19,2,3,6,4,0,1,0,1,0,0,0,0,572847.7862,5936206.804,10.10004538,53.56966507
3258,2,4,3,406,2018,5,13,3,3,0,4,0,0,0,1,0,0,1,0,564369.955,5940872.118,9.973009426,53.61270196
3259,2,3,3,314,2018,5,13,3,3,4,2,0,0,1,0,0,0,0,0,565283.9091,5937382.693,9.98609183,53.58122873
3260,2,1,1,102,2018,6,15,7,3,5,2,0,1,1,0,0,0,0,0,565294.68,5933555.02,9.985454532,53.54682716
3261,2,5,3,511,2018,5,10,7,3,5,3,0,0,1,0,1,0,0,0,572349.7815,5936434.306,10.09257942,53.57177852
3262,2,2,2,207,2018,5,12,3,3,1,7,0,1,1,0,0,0,0,0,563786.385,5935088.385,9.963007159,53.56079339
3263,2,1,4,109,2018,5,7,3,3,3,2,0,1,1,0,0,0,0,0,564576.67,5934622.7,9.97484028,53.55651151
3264,2,6,2,602,2018,5,12,4,2,2,6,0,0,1,0,0,0,0,0,580140.6459,5927405.82,10.20789339,53.48951072
3265,2,1,3,108,2018,5,19,3,3,3,6,0,0,1,0,1,0,0,0,565199.3374,5934617.393,9.984237356,53.55638683
3266,2,3,8,320,2018,6,21,7,3,0,7,1,0,1,0,0,0,0,0,560298.8249,5941304.098,9.911563133,53.61706876
3267,2,7,16,717,2018,5,18,7,3,8,1,0,0,0,0,1,0,0,0,552187.7299,5929049.438,9.786911082,53.50779823
3268,2,1,1,101,2018,5,16,3,3,2,2,0,1,1,0,0,0,0,0,566280.4832,5934543.905,10.00053984,53.55559099
3269,2,1,18,139,2018,5,21,3,2,2,6,0,0,0,0,1,1,0,0,564347.7629,5930330.047,9.970502566,53.51796015
3270,2,6,1,601,2018,5,16,5,3,5,3,0,1,1,0,0,0,0,0,579050.517,5928102.106,10.19164213,53.49593295
3271,2,1,4,112,2018,5,11,6,3,1,6,0,0,1,0,0,0,1,0,564189.6227,5933897.765,9.968849542,53.55004376
3272,2,1,12,130,2018,5,17,5,3,5,3,0,0,1,0,0,0,0,0,576116.065,5930976.309,10.14811478,53.52219574
3273,2,7,15,716,2018,5,16,2,3,8,1,0,0,0,0,1,0,0,0,555783.0047,5929553.508,9.841205825,53.51195956
3274,2,4,12,431,2018,5,13,3,3,2,2,0,0,1,0,0,0,0,0,566922.1233,5942235.033,10.01187415,53.62463079
3275,2,5,7,515,2018,5,12,3,3,2,6,0,0,1,0,0,0,0,0,571466.9144,5940486.872,10.08017803,53.60831969
3276,2,7,9,710,2018,5,16,2,3,5,3,0,0,1,0,0,0,0,0,561099.2201,5920923.988,9.919684872,53.43381039
3277,2,4,5,410,2018,5,9,2,3,5,3,0,1,0,0,0,0,0,0,567470.3583,5938341.573,10.01931912,53.58956958
3278,2,1,12,130,2018,5,14,2,3,5,2,0,1,1,0,0,0,0,0,573432.4817,5935043.772,10.10859946,53.55913152
3279,2,1,11,129,2018,5,13,2,3,6,4,0,0,1,1,0,0,0,0,572809.6684,5934015.61,10.09895937,53.54997827
